step,U_undernourished,GFS,TC_trade_collapse,EB_export_ban_rate,PAR_millions,famine_deaths_step,price_index,price_ratio,SAV_scale,SAV_homogeneity,SAV_connectivity,SAV_power,mean_FS_index,mean_ES_index,n_overload_food,n_overload_energy,total_supply_kcal_yr,total_demand_kcal_yr,trade_volume_kcal
1,0.4571,1.5262,0.0,0.4571,2724.07,14821846.0,1.1968,1.1968,1.0,0.1582,1.0,0.0853,0.175,0.0067,12,0,1.2348278176560794e+16,8817840273549746.0,2385044216161700.0
3,0.3714,1.6552,0.3553,0.3714,1784.66,10619698.0,0.5673,0.5673,0.9895,0.2024,1.0,0.086,0.1668,0.0134,12,0,1.3697725224252996e+16,8817840273549746.0,1537740486916266.5
5,0.3714,1.6951,0.6383,0.3714,1793.14,9784811.0,0.3035,0.3035,0.9758,0.1141,1.0,0.0861,0.1352,0.0201,10,0,1.3941424250832022e+16,8817840273549746.0,862554885026922.6
7,0.3429,1.7284,0.7153,0.3429,1568.69,9548130.0,0.2,0.2,0.9614,0.1629,1.0,0.0862,0.1343,0.0269,10,0,1.4162325087348934e+16,8817840273549746.0,679120637993405.0
9,0.3429,1.8145,0.683,0.3429,1576.52,8710032.0,0.2,0.2,0.9471,0.2714,1.0,0.0862,0.1254,0.0336,7,0,1.4879367818730284e+16,8817840273549746.0,756018848151273.0
11,0.3429,1.8346,0.709,0.3429,1584.73,8484219.0,0.2,0.2,0.9329,0.2647,1.0,0.0862,0.1236,0.0403,6,0,1.507650591934568e+16,8817840273549746.0,694024511585963.5
13,0.3429,1.8528,0.7079,0.3429,1593.31,8293033.0,0.2,0.2,0.9189,0.234,1.0,0.0862,0.123,0.047,5,0,1.5258818034256802e+16,8817840273549746.0,696609137906536.2
15,0.3429,1.8727,0.7852,0.3429,1602.34,8017532.0,0.2,0.2,0.9053,0.1726,1.0,0.0862,0.1212,0.0537,5,0,1.5428199214109368e+16,8817840273549746.0,512189060130819.5
17,0.3429,1.6339,0.755,0.3429,1611.64,7922947.0,0.2,0.2,0.8874,0.369,1.0,0.086,0.1261,0.0605,5,0,1.30950180224125e+16,8817840273549746.0,584236109310199.2
19,0.3143,1.6174,0.8513,0.3143,1599.68,7707490.0,0.2369,0.2369,0.87,0.2321,1.0,0.0857,0.128,0.073,6,0,1.29270166888092e+16,8817840273549746.0,354746602266289.75
21,0.3143,1.6267,0.8897,0.3143,1609.35,7637039.0,0.2,0.2,0.8528,0.2925,1.0,0.0854,0.1277,0.0799,5,0,1.303500951710297e+16,8817840273549746.0,263038496113003.97
23,0.3143,1.6375,0.9153,0.3143,1619.27,7575606.0,0.2,0.2,0.836,0.1702,1.0,0.0851,0.1284,0.0868,5,0,1.3142532608066166e+16,8817840273549746.0,201990382418785.75
25,0.3143,1.6374,0.869,0.3143,1629.43,7523193.0,0.2346,0.2346,0.8195,0.2856,1.0,0.0848,0.1305,0.0937,6,0,1.3141696214619182e+16,8817840273549746.0,312369140088649.75
27,0.3143,1.6456,0.7602,0.3143,1639.68,7626289.0,0.2712,0.2712,0.8034,0.5246,1.0,0.0845,0.1316,0.1005,7,0,1.3232980043010762e+16,8817840273549746.0,571897284418888.8
29,0.3143,1.6539,0.9248,0.3143,1650.09,7675808.0,0.2091,0.2091,0.7878,0.1309,1.0,0.0843,0.1314,0.1075,5,0,1.332095384647548e+16,8817840273549746.0,179363710081981.22
31,0.3143,1.6628,0.9068,0.3143,1660.83,7536703.0,0.2383,0.2383,0.7722,0.1214,1.0,0.084,0.1321,0.1145,6,0,1.3403801378207398e+16,8817840273549746.0,222331647478691.03
33,0.3143,1.6713,0.8607,0.3143,1671.89,7429912.0,0.2,0.2,0.757,0.292,1.0,0.0837,0.1317,0.1217,6,0,1.3481749388297564e+16,8817840273549746.0,332169095425774.3
35,0.3143,1.6801,0.8301,0.3143,1683.29,7293079.0,0.2,0.2,0.7421,0.2457,1.0,0.0834,0.1309,0.1288,6,0,1.355540313399433e+16,8817840273549746.0,405314687370898.4
37,0.3143,1.6885,0.8983,0.3143,1695.01,7186347.0,0.2,0.2,0.7275,0.1419,1.0,0.0832,0.1302,0.1359,5,0,1.36250257304891e+16,8817840273549746.0,242555145897755.6
39,0.3143,1.695,0.8506,0.3143,1707.02,7102731.0,0.2,0.2,0.7131,0.1282,1.0,0.0829,0.1302,0.143,4,0,1.36909063348875e+16,8817840273549746.0,356419180616421.44
41,0.3143,1.7005,0.8228,0.3143,1719.39,6972567.0,0.2195,0.2195,0.699,0.1395,1.0,0.0826,0.13,0.1501,5,0,1.3753254718214142e+16,8817840273549746.0,422582241413486.44
43,0.3143,1.7064,0.8686,0.3143,1732.08,6873153.0,0.2,0.2,0.6853,0.1166,1.0,0.0823,0.1305,0.1571,4,0,1.381228676811723e+16,8817840273549746.0,313404103315019.94
45,0.3143,1.7131,0.7385,0.3143,1745.06,6806924.0,0.2191,0.2191,0.6718,0.2032,1.0,0.0821,0.1313,0.1642,5,0,1.3868184776091304e+16,8817840273549746.0,623722227278597.8
47,0.3143,1.7176,0.8427,0.3143,1758.46,6625107.0,0.2,0.2,0.6587,0.1674,1.0,0.0818,0.1308,0.1713,5,0,1.3921112491864274e+16,8817840273549746.0,375174164140056.8
49,0.3143,1.7242,0.8743,0.3143,1772.04,6681844.0,0.2,0.2,0.6457,0.1289,1.0,0.0815,0.1318,0.1783,5,0,1.3971221868281798e+16,8817840273549746.0,299689409400427.8
